% MTEX ODF
% crystal symmetry: "6/m"
% specimen symmetry: "-1"
% phi1    Phi     phi2    value
150.00000 2.50000 180.00000 0.45450
150.00000 2.50000 185.00000 3.16740
150.00000 2.50000 190.00000 15.34979
150.00000 2.50000 195.00000 52.05358
150.00000 2.50000 200.00000 124.11334
150.00000 2.50000 205.00000 208.76740
150.00000 2.50000 210.00000 248.22668
150.00000 2.50000 215.00000 208.76740
150.00000 2.50000 220.00000 124.11334
150.00000 2.50000 225.00000 52.05358
150.00000 2.50000 230.00000 15.34979
150.00000 2.50000 235.00000 3.16740
270.00000 2.50000 60.00000 0.45450
270.00000 2.50000 65.00000 3.16740
270.00000 2.50000 70.00000 15.34979
270.00000 2.50000 75.00000 52.05358
270.00000 2.50000 80.00000 124.11334
270.00000 2.50000 85.00000 208.76740
270.00000 2.50000 90.00000 248.22668
270.00000 2.50000 95.00000 208.76740
270.00000 2.50000 100.00000 124.11334
270.00000 2.50000 105.00000 52.05358
270.00000 2.50000 110.00000 15.34979
270.00000 2.50000 115.00000 3.16740
30.00000 2.50000 300.00000 0.45450
30.00000 2.50000 305.00000 3.16740
30.00000 2.50000 310.00000 15.34979
30.00000 2.50000 315.00000 52.05358
30.00000 2.50000 320.00000 124.11334
30.00000 2.50000 325.00000 208.76740
30.00000 2.50000 330.00000 248.22668
30.00000 2.50000 335.00000 208.76740
30.00000 2.50000 340.00000 124.11334
30.00000 2.50000 345.00000 52.05358
30.00000 2.50000 350.00000 15.34979
30.00000 2.50000 355.00000 3.16740
90.00000 7.50000 240.00000 0.32143
90.00000 7.50000 245.00000 2.24006
90.00000 7.50000 250.00000 10.85573
90.00000 7.50000 255.00000 36.81353
90.00000 7.50000 260.00000 87.77589
90.00000 7.50000 265.00000 147.64525
90.00000 7.50000 270.00000 175.55179
90.00000 7.50000 275.00000 147.64525
90.00000 7.50000 280.00000 87.77589
90.00000 7.50000 285.00000 36.81353
90.00000 7.50000 290.00000 10.85573
90.00000 7.50000 295.00000 2.24006
130.00000 7.50000 200.00000 0.32143
130.00000 7.50000 205.00000 2.24006
130.00000 7.50000 210.00000 10.85573
130.00000 7.50000 215.00000 36.81353
130.00000 7.50000 220.00000 87.77589
130.00000 7.50000 225.00000 147.64525
130.00000 7.50000 230.00000 175.55179
130.00000 7.50000 235.00000 147.64525
130.00000 7.50000 240.00000 87.77589
130.00000 7.50000 245.00000 36.81353
130.00000 7.50000 250.00000 10.85573
130.00000 7.50000 255.00000 2.24006
170.00000 7.50000 160.00000 0.32143
170.00000 7.50000 165.00000 2.24006
170.00000 7.50000 170.00000 10.85573
170.00000 7.50000 175.00000 36.81353
170.00000 7.50000 180.00000 87.77589
170.00000 7.50000 185.00000 147.64525
170.00000 7.50000 190.00000 175.55179
170.00000 7.50000 195.00000 147.64525
170.00000 7.50000 200.00000 87.77589
170.00000 7.50000 205.00000 36.81353
170.00000 7.50000 210.00000 10.85573
170.00000 7.50000 215.00000 2.24006
210.00000 7.50000 120.00000 0.32143
210.00000 7.50000 125.00000 2.24006
210.00000 7.50000 130.00000 10.85573
210.00000 7.50000 135.00000 36.81353
210.00000 7.50000 140.00000 87.77589
210.00000 7.50000 145.00000 147.64525
210.00000 7.50000 150.00000 175.55179
210.00000 7.50000 155.00000 147.64525
210.00000 7.50000 160.00000 87.77589
210.00000 7.50000 165.00000 36.81353
210.00000 7.50000 170.00000 10.85573
210.00000 7.50000 175.00000 2.24006
250.00000 7.50000 80.00000 0.32143
250.00000 7.50000 85.00000 2.24006
250.00000 7.50000 90.00000 10.85573
250.00000 7.50000 95.00000 36.81353
250.00000 7.50000 100.00000 87.77589
250.00000 7.50000 105.00000 147.64525
250.00000 7.50000 110.00000 175.55179
250.00000 7.50000 115.00000 147.64525
250.00000 7.50000 120.00000 87.77589
250.00000 7.50000 125.00000 36.81353
250.00000 7.50000 130.00000 10.85573
250.00000 7.50000 135.00000 2.24006
290.00000 7.50000 40.00000 0.32143
290.00000 7.50000 45.00000 2.24006
290.00000 7.50000 50.00000 10.85573
290.00000 7.50000 55.00000 36.81353
290.00000 7.50000 60.00000 87.77589
290.00000 7.50000 65.00000 147.64525
290.00000 7.50000 70.00000 175.55179
290.00000 7.50000 75.00000 147.64525
290.00000 7.50000 80.00000 87.77589
290.00000 7.50000 85.00000 36.81353
290.00000 7.50000 90.00000 10.85573
290.00000 7.50000 95.00000 2.24006
330.00000 7.50000 0.00000 0.32143
330.00000 7.50000 5.00000 2.24006
330.00000 7.50000 10.00000 10.85573
330.00000 7.50000 15.00000 36.81353
330.00000 7.50000 20.00000 87.77589
330.00000 7.50000 25.00000 147.64525
330.00000 7.50000 30.00000 175.55179
330.00000 7.50000 35.00000 147.64525
330.00000 7.50000 40.00000 87.77589
330.00000 7.50000 45.00000 36.81353
330.00000 7.50000 50.00000 10.85573
330.00000 7.50000 55.00000 2.24006
10.00000 7.50000 320.00000 0.32143
10.00000 7.50000 325.00000 2.24006
10.00000 7.50000 330.00000 10.85573
10.00000 7.50000 335.00000 36.81353
10.00000 7.50000 340.00000 87.77589
10.00000 7.50000 345.00000 147.64525
10.00000 7.50000 350.00000 175.55179
10.00000 7.50000 355.00000 147.64525
10.00000 7.50000 0.00000 87.77589
10.00000 7.50000 5.00000 36.81353
10.00000 7.50000 10.00000 10.85573
10.00000 7.50000 15.00000 2.24006
50.00000 7.50000 280.00000 0.32143
50.00000 7.50000 285.00000 2.24006
50.00000 7.50000 290.00000 10.85573
50.00000 7.50000 295.00000 36.81353
50.00000 7.50000 300.00000 87.77589
50.00000 7.50000 305.00000 147.64525
50.00000 7.50000 310.00000 175.55179
50.00000 7.50000 315.00000 147.64525
50.00000 7.50000 320.00000 87.77589
50.00000 7.50000 325.00000 36.81353
50.00000 7.50000 330.00000 10.85573
50.00000 7.50000 335.00000 2.24006
101.25000 12.50000 228.75000 0.16056
101.25000 12.50000 233.75000 1.11892
101.25000 12.50000 238.75000 5.42248
101.25000 12.50000 243.75000 18.38849
101.25000 12.50000 248.75000 43.84438
101.25000 12.50000 253.75000 73.74934
101.25000 12.50000 258.75000 87.68876
101.25000 12.50000 263.75000 73.74934
101.25000 12.50000 268.75000 43.84438
101.25000 12.50000 273.75000 18.38849
101.25000 12.50000 278.75000 5.42248
101.25000 12.50000 283.75000 1.11892
123.75000 12.50000 206.25000 0.16056
123.75000 12.50000 211.25000 1.11892
123.75000 12.50000 216.25000 5.42248
123.75000 12.50000 221.25000 18.38849
123.75000 12.50000 226.25000 43.84438
123.75000 12.50000 231.25000 73.74934
123.75000 12.50000 236.25000 87.68876
123.75000 12.50000 241.25000 73.74934
123.75000 12.50000 246.25000 43.84438
123.75000 12.50000 251.25000 18.38849
123.75000 12.50000 256.25000 5.42248
123.75000 12.50000 261.25000 1.11892
146.25000 12.50000 183.75000 0.16056
146.25000 12.50000 188.75000 1.11892
146.25000 12.50000 193.75000 5.42248
146.25000 12.50000 198.75000 18.38849
146.25000 12.50000 203.75000 43.84438
146.25000 12.50000 208.75000 73.74934
146.25000 12.50000 213.75000 87.68876
146.25000 12.50000 218.75000 73.74934
146.25000 12.50000 223.75000 43.84438
146.25000 12.50000 228.75000 18.38849
146.25000 12.50000 233.75000 5.42248
146.25000 12.50000 238.75000 1.11892
168.75000 12.50000 161.25000 0.16056
168.75000 12.50000 166.25000 1.11892
168.75000 12.50000 171.25000 5.42248
168.75000 12.50000 176.25000 18.38849
168.75000 12.50000 181.25000 43.84438
168.75000 12.50000 186.25000 73.74934
168.75000 12.50000 191.25000 87.68876
168.75000 12.50000 196.25000 73.74934
168.75000 12.50000 201.25000 43.84438
168.75000 12.50000 206.25000 18.38849
168.75000 12.50000 211.25000 5.42248
168.75000 12.50000 216.25000 1.11892
191.25000 12.50000 138.75000 0.16056
191.25000 12.50000 143.75000 1.11892
191.25000 12.50000 148.75000 5.42248
191.25000 12.50000 153.75000 18.38849
191.25000 12.50000 158.75000 43.84438
191.25000 12.50000 163.75000 73.74934
191.25000 12.50000 168.75000 87.68876
191.25000 12.50000 173.75000 73.74934
191.25000 12.50000 178.75000 43.84438
191.25000 12.50000 183.75000 18.38849
191.25000 12.50000 188.75000 5.42248
191.25000 12.50000 193.75000 1.11892
213.75000 12.50000 116.25000 0.16056
213.75000 12.50000 121.25000 1.11892
213.75000 12.50000 126.25000 5.42248
213.75000 12.50000 131.25000 18.38849
213.75000 12.50000 136.25000 43.84438
213.75000 12.50000 141.25000 73.74934
213.75000 12.50000 146.25000 87.68876
213.75000 12.50000 151.25000 73.74934
213.75000 12.50000 156.25000 43.84438
213.75000 12.50000 161.25000 18.38849
213.75000 12.50000 166.25000 5.42248
213.75000 12.50000 171.25000 1.11892
236.25000 12.50000 93.75000 0.16056
236.25000 12.50000 98.75000 1.11892
236.25000 12.50000 103.75000 5.42248
236.25000 12.50000 108.75000 18.38849
236.25000 12.50000 113.75000 43.84438
236.25000 12.50000 118.75000 73.74934
236.25000 12.50000 123.75000 87.68876
236.25000 12.50000 128.75000 73.74934
236.25000 12.50000 133.75000 43.84438
236.25000 12.50000 138.75000 18.38849
236.25000 12.50000 143.75000 5.42248
236.25000 12.50000 148.75000 1.11892
258.75000 12.50000 71.25000 0.16056
258.75000 12.50000 76.25000 1.11892
258.75000 12.50000 81.25000 5.42248
258.75000 12.50000 86.25000 18.38849
258.75000 12.50000 91.25000 43.84438
258.75000 12.50000 96.25000 73.74934
258.75000 12.50000 101.25000 87.68876
258.75000 12.50000 106.25000 73.74934
258.75000 12.50000 111.25000 43.84438
258.75000 12.50000 116.25000 18.38849
258.75000 12.50000 121.25000 5.42248
258.75000 12.50000 126.25000 1.11892
281.25000 12.50000 48.75000 0.16056
281.25000 12.50000 53.75000 1.11892
281.25000 12.50000 58.75000 5.42248
281.25000 12.50000 63.75000 18.38849
281.25000 12.50000 68.75000 43.84438
281.25000 12.50000 73.75000 73.74934
281.25000 12.50000 78.75000 87.68876
281.25000 12.50000 83.75000 73.74934
281.25000 12.50000 88.75000 43.84438
281.25000 12.50000 93.75000 18.38849
281.25000 12.50000 98.75000 5.42248
281.25000 12.50000 103.75000 1.11892
